answer,battleName,belligerentA,belligerentB,date,leaderAImageLink,leaderAName,leaderBImageLink,leaderBName,location,wikipediaBlurb,wikipediaLink
B,Battle of Moscow,Polish–Lithuanian Commonwealth,Tsardom of Russia,1 and 3 September 1612,//upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Jan_Karal_Chadkievi%C4%8D._%D0%AF%D0%BD_%D0%9A%D0%B0%D1%80%D0%B0%D0%BB%D1%8C_%D0%A5%D0%B0%D0%B4%D0%BA%D0%B5%D0%B2%D1%96%D1%87_%28XVII%29_%286%29.jpg/225px-Jan_Karal_Chadkievi%C4%8D._%D0%AF%D0%BD_%D0%9A%D0%B0%D1%80%D0%B0%D0%BB%D1%8C_%D0%A5%D0%B0%D0%B4%D0%BA%D0%B5%D0%B2%D1%96%D1%87_%28XVII%29_%286%29.jpg,Jan Karol Chodkiewicz,//upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Minin_i_Pozharskiy.jpg/220px-Minin_i_Pozharskiy.jpg,Dmitry Pozharsky,Moscow,"The Battle of Moscow was a series of two battles, which took place in Moscow, on September 1 and 3, 1612, during the Polish–Muscovite War (1605–18). Forces of the Polish–Lithuanian Commonwealth were commanded by Field Hetman of Lithuania, Jan Karol Chodkiewicz, while Russians were led by Dmitry Pozharsky. The battles ended in tactical Russian victo...",https://en.wikipedia.org/wiki/Battle_of_Moscow_(1612)
A,Battle of Mouscron,Republican France,Habsburg Austria,28–29 April 1794,//upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Portret_van_generaal_Charles_Pichegru%2C_RP-P-1906-1749.jpg/220px-Portret_van_generaal_Charles_Pichegru%2C_RP-P-1906-1749.jpg,Charles Pichegru,//upload.wikimedia.org/wikipedia/commons/thumb/0/04/Clairfait.jpg/220px-Clairfait.jpg,Count of Clerfayt,"Mouscron, Belgium","The Battle of Mouscron (28-29 April 1794) was a series of clashes that occurred when the Republican French Army of the North under Jean-Charles Pichegru moved northeast to attack Menin (now Menen) and was opposed by Coalition forces under the overall leadership of François Sébastien Charles Joseph de Croix, Count of Clerfayt. In their initial advan...",https://en.wikipedia.org/wiki/Battle_of_Mouscron
A,Battle of Chantilly,United States,CSA (Confederacy),"September 1, 1862",//upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Philip_Kearny%2Cjr.jpg/220px-Philip_Kearny%2Cjr.jpg,Philip Kearny,//upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Stonewall_Jackson_by_Routzahn%2C_1862.png/220px-Stonewall_Jackson_by_Routzahn%2C_1862.png,Stonewall Jackson,"Fairfax County, Virginia","The Battle of Chantilly (or Ox Hill, the Confederate name) took place on September 1, 1862, in Fairfax County, Virginia, as the concluding battle of the Northern Virginia Campaign of the American Civil War. Thomas J. ""Stonewall"" Jackson's corps of the Army of Northern Virginia attempted to cut off the line of retreat of the Union Army of Virginia f...",https://en.wikipedia.org/wiki/Battle_of_Chantilly
A,Battle of Tudela,France,Spain,23 November 1808,//upload.wikimedia.org/wikipedia/commons/thumb/d/da/Jean_Charles_Nicaise_Perrin_-_Jean_Lannes%2C_duc_de_Montebello%2C_Mar%C3%A9chal_de_France.jpg/220px-Jean_Charles_Nicaise_Perrin_-_Jean_Lannes%2C_duc_de_Montebello%2C_Mar%C3%A9chal_de_France.jpg,Jean Lannes,//upload.wikimedia.org/wikipedia/commons/thumb/1/1a/General_Francisco_Javier_Casta%C3%B1os_%28Museo_del_Prado%29.jpg/220px-General_Francisco_Javier_Casta%C3%B1os_%28Museo_del_Prado%29.jpg,Duke of Bailén,"Tudela, Navarre, Spain","The Battle of Tudela (23 November 1808) saw an Imperial French army led by Marshal Jean Lannes attack a Spanish army under General Castaños. The battle resulted in the complete victory of the Imperial forces over their adversaries. The combat occurred near Tudela in Navarre, Spain during the Peninsular War, part of a wider conflict known as the Nap...",https://en.wikipedia.org/wiki/Battle_of_Tudela
A,Najd Expedition,Egypt,Emirate of Diriyah,1818,//upload.wikimedia.org/wikipedia/commons/thumb/5/52/Portrait_d%27Ibrahim_Pacha_2.JPG/220px-Portrait_d%27Ibrahim_Pacha_2.JPG,Ibrahim Pasha,//upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Abdullah_I_of_Saudi_Arabia.jpg/220px-Abdullah_I_of_Saudi_Arabia.jpg,Abdullah I,"Nejd, Al Qasim","The Najd Expedition (Turkish: Nejd Seferi) was a series of military conflicts waged by Egypt on behalf of the Ottoman Empire from 1817–1818. It was part of the Wahhabi War that lasted from 1811 to 1818. The campaign of 1817/8 was led by Ibrahim Pasha, with the goal of capturing Diriyah and to suppress the Diriyah Arabs by the order of the sultan Ma...",https://en.wikipedia.org/wiki/Nejd_Expedition
A,Battle of Elkin's Ferry,United States,Confederate States,"April 3 – 4, 1864",//upload.wikimedia.org/wikipedia/commons/thumb/1/19/Frederick_Steele.jpg/220px-Frederick_Steele.jpg,Frederick Steele,//upload.wikimedia.org/wikipedia/commons/thumb/0/06/Major_General_John_S._Marmaduke%2C_C.S.A_%28cropped%29.jpg/220px-Major_General_John_S._Marmaduke%2C_C.S.A_%28cropped%29.jpg,John S. Marmaduke,"Clark, Nevada, Arkansas","The Battle of Elkin's Ferry (April 3 – 4, 1864), also known as Engagement at Elkin's Ferry, was fought in Clark and Nevada counties in Arkansas as part of the Camden Expedition, during the American Civil War.Coordinates: 33°55′50″N 93°21′26″W﻿ / ﻿33.93056°N 93.35722°W﻿ / 33.93056; -93.35722",https://en.wikipedia.org/wiki/Battle_of_Elkin%27s_Ferry
A,Battle of Suipacha,United Provinces of South America,Spanish Empire,"November 7, 1810",//upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Antonio_Gonz%C3%A1lez_Balcarce.jpg/150px-Antonio_Gonz%C3%A1lez_Balcarce.jpg,Antonio González Balcarce,,José de Córdoba y Rojas,Bolivia,The Battle of Suipacha was fought on 7 November 1810 in Bolivia during the Bolivian War of Independence between the Spanish colonial army and the Republican forces sent by the Primera Junta from Buenos Aires. At the time Bolivia was known as Upper Peru (Alto Perú).  It was the first decisive defeat of the Royalists by Republican forces. The battle ...,https://en.wikipedia.org/wiki/Battle_of_Suipacha
A,Battle of Hanau,France,Bavaria,30–31 October 1813,//upload.wikimedia.org/wikipedia/commons/thumb/5/50/Jacques-Louis_David_-_The_Emperor_Napoleon_in_His_Study_at_the_Tuileries_-_Google_Art_Project.jpg/220px-Jacques-Louis_David_-_The_Emperor_Napoleon_in_His_Study_at_the_Tuileries_-_Google_Art_Project.jpg,Napoleon Bonaparte,//upload.wikimedia.org/wikipedia/commons/thumb/2/22/Karl_Philipp_Wrede.jpg/220px-Karl_Philipp_Wrede.jpg,Karl von Wrede,"Hanau, Duchy of Frankfurt",The Battle of Hanau was fought from 30 to 31 October 1813 between Karl Philipp von Wrede's Austro-Bavarian corps and Napoleon's retreating French during the War of the Sixth Coalition.,https://en.wikipedia.org/wiki/Battle_of_Hanau
A,Battle of Secessionville,Union,CSA (Confederacy),"June 16, 1862",//upload.wikimedia.org/wikipedia/commons/thumb/8/88/Henry_W_Benham.jpg/220px-Henry_W_Benham.jpg,Henry Benham,//upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Nathan_George_Evans.jpg/220px-Nathan_George_Evans.jpg,Nathan G. Evans,"Charleston, South Carolina","The Battle of Secessionville (or the First Battle of James Island) was fought on June 16, 1862, during the American Civil War. Confederate forces defeated the Union's only attempt to capture Charleston, South Carolina, by land. It's noted for the court martial of the Union Brig. Gen. Henry Benham for trying to take James Island, which was against t...",https://en.wikipedia.org/wiki/Battle_of_Secessionville
B,Siege of Cawnpore,East India Company,Nana Sahib,5–25 June 1857,,Major General,//upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Nana_sahib.png/250px-Nana_sahib.png,Nana Sahib,Cawnpore,"The Siege of Cawnpore was a key episode in the Indian rebellion of 1857. The besieged Company forces and civilians in Cawnpore (now Kanpur) were unprepared for an extended siege and surrendered to rebel forces under Nana Sahib, in return for a safe passage to Allahabad. However, their evacuation from Cawnpore turned into a massacre, and most of the...",https://en.wikipedia.org/wiki/Siege_of_Cawnpore
A,Battle of Kessler's Cross Lanes,United States,CSA (Confederacy),"August 26, 1861",//upload.wikimedia.org/wikipedia/commons/thumb/8/80/Gen-ebtyler.jpg/220px-Gen-ebtyler.jpg,Erastus Tyler,//upload.wikimedia.org/wikipedia/commons/thumb/f/f4/John_Buchanan_Floyd.jpg/220px-John_Buchanan_Floyd.jpg,John B. Floyd,"Nicholas County, Virginia, West Virginia","The Battle of Kessler's Cross Lanes, also known as the Battle of Cross Lanes, took place on August 26, 1861 in Nicholas County, Virginia (now West Virginia) as part of the Western Virginia Campaign during the American Civil War.",https://en.wikipedia.org/wiki/Battle_of_Kessler%27s_Cross_Lanes
B,Battle of Almaraz,French Empire,,18–19 May 1812,,,//upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Roland_Hill_1819.jpg/220px-Roland_Hill_1819.jpg,Rowland Hill,"Almaraz, Spain","The Battle of Almaraz was a battle of the Peninsular War which took place on 18–19 May 1812, in which the Anglo-Portuguese Army under Lord Hill destroyed a French pontoon bridge across the River Tagus, in Almaraz, Spain. The bridge was protected by two French garrisons at either end.",https://en.wikipedia.org/wiki/Battle_of_Almaraz
A,Battle of Salem Church,United States,CSA (Confederacy),"May 3, 1863",//upload.wikimedia.org/wikipedia/commons/thumb/8/8e/John_Sedgwick.png/220px-John_Sedgwick.png,John Sedgwick,//upload.wikimedia.org/wikipedia/commons/thumb/8/89/Robert_Edward_Lee.jpg/220px-Robert_Edward_Lee.jpg,Robert E. Lee,"Spotsylvania County, Virginia","The Battle of Salem Church, also known as the Battle of Banks' Ford, took place on May 3 and 4, 1863, in Spotsylvania County, Virginia, as part of the Chancellorsville Campaign of the American Civil War.",https://en.wikipedia.org/wiki/Battle_of_Salem_Church
B,Battle of Big Mound,United States of America,Santee Sioux,"July 24, 1863",//upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Henry_Hastings_Sibley2.jpg/220px-Henry_Hastings_Sibley2.jpg,Henry Hastings Sibley,,Inkpaduta,"Dakota Territory, Kidder County, North Dakota","The Battle of Big Mound was a United States Army victory in July 1863 over the Santee Sioux Indians allied with some Yankton, Yanktonai and  Teton Sioux  in Dakota Territory.",https://en.wikipedia.org/wiki/Battle_of_Big_Mound
B,Battle of Chevilly,North German Confederation,France,"September 30, 1870",,Wilhelm von Tümpling,//upload.wikimedia.org/wikipedia/commons/thumb/4/41/Crimean_War_1854-56_Q71111.jpg/220px-Crimean_War_1854-56_Q71111.jpg,Joseph Vinoy,"Chevilly, France",The Battle of Chevilly was fought during the siege of Paris.  The battle was the second French sortie from Paris against the German armies.  On 30 September 1870 General Joseph Vinoy attacked the Prussian VI Corps at Chevilly and was easily repulsed.,https://en.wikipedia.org/wiki/Battle_of_Chevilly
